#Tenant,ID,FilterIDs,Weight,AttributeFilterIDs,Path,Type,Value,Blocker
cgrates.org,ATTR_1001_SIMPLEAUTH,*string:~*req.Account:1001,20,,*req.Password,*constant,CGRateS.org,false
cgrates.org,ATTR_1001_SIMPLEAUTH,,20,,*req.EventName,*constant,*remove,false
cgrates.org,ATTR_1003_SIMPLEAUTH,*string:~*req.Account:1003,20,,*req.Password,*constant,CGRateS.com,false
cgrates.org,ATTR_API_ATTR_FAKE_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:12345,20,,*req.APIMethods,*constant,,false
cgrates.org,ATTR_API_ATTR_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:attr12345,20,,*req.APIMethods,*constant,AttributeSv1.Ping&AttributeSv1.GetAttributeForEvent&AttributeSv1.ProcessEvent,false
cgrates.org,ATTR_API_CHRG_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:chrg12345,20,,*req.APIMethods,*constant,ChargerSv1.Ping&ChargerSv1.GetChargersForEvent&ChargerSv1.ProcessEvent,false
cgrates.org,ATTR_API_THR_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:thr12345,20,,*req.APIMethods,*constant,ThresholdSv1.Ping&ThresholdSv1.GetThresholdsForEvent&ThresholdSv1.ProcessEvent&ThresholdSv1.GetThreshold&ThresholdSv1.GetThresholdIDs,false
cgrates.org,ATTR_API_SUP_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:sup12345,20,,*req.APIMethods,*constant,RouteSv1.Ping&RouteSv1.GetRoutes&RouteSv1.GetRouteProfilesForEvent,false
cgrates.org,ATTR_API_STAT_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:stat12345,20,,*req.APIMethods,*constant,StatSv1.Ping&StatSv1.GetStatQueuesForEvent&StatSv1.GetQueueStringMetrics&StatSv1.ProcessEvent&StatSv1.GetQueueIDs&StatSv1.GetQueueFloatMetrics,false
cgrates.org,ATTR_API_RES_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:res12345,20,,*req.APIMethods,*constant,ResourceSv1.Ping&ResourceSv1.GetResourcesForEvent&ResourceSv1.AuthorizeResources&ResourceSv1.AllocateResources&ResourceSv1.ReleaseResources&ResourceSv1.GetResource,false
cgrates.org,ATTR_API_SES_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:ses12345,20,,*req.APIMethods,*constant,SessionSv1.Ping&SessionSv1.AuthorizeEvent&SessionSv1.AuthorizeEventWithDigest&SessionSv1.InitiateSession&SessionSv1.InitiateSessionWithDigest&SessionSv1.UpdateSession&SessionSv1.SyncSessions&SessionSv1.TerminateSession&SessionSv1.ProcessCDR&SessionSv1.ProcessMessage&SessionSv1.GetActiveSessions&SessionSv1.GetActiveSessionsCount&SessionSv1.ForceDisconnect&SessionSv1.GetPassiveSessions&SessionSv1.GetPassiveSessionsCount&SessionSv1.ReplicateSessions&SessionSv1.SetPassiveSession&SessionSv1.ProcessEvent&SessionSv1.GetCost&SessionSv1.STIRAuthenticate&SessionSv1.STIRIdentity,false
cgrates.org,ATTR_API_RSP_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:rsp12345,20,,*req.APIMethods,*constant,CoreSv1.Status&CoreSv1.Ping&Responder.Shutdown&Responder.Ping,false
cgrates.org,ATTR_API_CHC_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:chc12345,20,,*req.APIMethods,*constant,CacheSv1.Ping&CacheSv1.GetCacheStats&CacheSv1.LoadCache&CacheSv1.PrecacheStatus&CacheSv1.GetItemIDs&CacheSv1.HasItem&CacheSv1.GetItemExpiryTime&CacheSv1.ReloadCache&CacheSv1.RemoveItem&CacheSv1.RemoveItems&CacheSv1.Clear,false
cgrates.org,ATTR_API_GRD_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:grd12345,20,,*req.APIMethods,*constant,GuardianSv1.Ping&GuardianSv1.RemoteLock&GuardianSv1.RemoteUnlock,false
cgrates.org,ATTR_API_SCHD_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:sched12345,20,,*req.APIMethods,*constant,SchedulerSv1.Ping,false
cgrates.org,ATTR_API_CDRS_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:cdrs12345,20,,*req.APIMethods,*constant,CDRsV1.Ping&CDRsV1.ProcessEvent&CDRsV1.GetCDRs&CDRsV1.GetCDRsCount&CDRsV1.ProcessCDR&CDRsV1.ProcessExternalCDR,false
cgrates.org,ATTR_API_DSP_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:dsp12345,20,,*req.APIMethods,*constant,DispatcherSv1.Ping&DispatcherSv1.GetProfileForEvent,false
cgrates.org,ATTR_API_PSE_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:pse12345,20,,*req.APIMethods,*constant,SessionSv1.Ping&SessionSv1.AuthorizeEvent&SessionSv1.AuthorizeEventWithDigest&SessionSv1.InitiateSession&SessionSv1.InitiateSessionWithDigest&SessionSv1.UpdateSession&SessionSv1.SyncSessions&SessionSv1.TerminateSession&SessionSv1.ProcessCDR&SessionSv1.ProcessMessage&SessionSv1.GetActiveSessions&SessionSv1.GetActiveSessionsCount&SessionSv1.ForceDisconnect&SessionSv1.GetPassiveSessions&SessionSv1.GetPassiveSessionsCount&SessionSv1.ReplicateSessions&SessionSv1.SetPassiveSession&AttributeSv1.ProcessEvent&Responder.Debit&ResourceSv1.AllocateResources&ChargerSv1.ProcessEvent&Responder.MaxDebit&SessionSv1.ProcessEvent&ResourceSv1.ReleaseResources,false
cgrates.org,ATTR_API_CFG_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:cfg12345,20,,*req.APIMethods,*constant,ConfigSv1.GetConfig&ConfigSv1.ReloadConfig,false
cgrates.org,ATTR_API_APIER_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:apier12345,20,,*req.APIMethods,*constant,APIerSv1.GetAttributeProfile&APIerSv1.SetAttributeProfile,false
cgrates.org,ATTR_API_RALS_AUTH,*string:~*opts.*context:*auth;*string:~*req.ApiKey:rals12345,20,,*req.APIMethods,*constant,RALsV1.Ping&RALsV1.GetRatingPlansCost,false
